id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
23892,HOTEL ST. REGIS,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,NONE,FRENCH AND ENGLISH;,1906-180,1906-02-16T00:00:00Z,HOTEL ST. REGIS,Dollars,$,COMPLETE,2,201
23894,THE GRAND,DAILY MENU,COM,"PUEBLO,COLORADO",CARD; 3.5 X 5.5,NONE,,1889-076,1889-09-26T00:00:00Z,THE GRAND,,,COMPLETE,2,27
23895,BASS ROCK HOTEL,FOURTH OF JULY DINNER,COM,"GLOUCESTER,MASS]",FOLDER; 4X5,PATRIOTIC HOLIDAY,"HANDWRITTEN ""GIFT OF W.C.GREEN""ON FRONT COVER,GLOUCESTER, MASS JON MENU CARD",1888-059,1888-07-04T00:00:00Z,BASS ROCK HOTEL,,,COMPLETE,4,38
23896,SHEET METAL WARE MANUFACTURERS,DINNER,PROF,"WALDORF-ASTORIA, NEW YORK, NY",CARD; ILLUS; COL; 5.5X7.25;,ANNIVERSARY;,"WINES WITH EACH COURSE; MENU IN FRENCH; ILLUSTRATION OF ""BATHING BEAUTY:""",1907-406,1907-04-17T00:00:00Z,SHEET METAL WARE MANUFACTURERS,,,COMPLETE,2,20
23898,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSEN - DINNER,COMMERCIAL,"DAMPFER ""BARBAROSSA""",CARD; ILLUS; COL; 5.25X7.5;,NONE,GERMAN & ENGLISH; ILLUSTRATION OF PASSENGERS SROLLING AND CHATTING ON DECK; THIS DUPLICATION OF MENUS ON SAME DATES INDICATES ANOTHER STEAMSHIP CLASS (NO MUSICAL CONCERT INCLUDED);,1901-931,1901-04-15T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,18
23899,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA,FL",FOLDER;ILLUS;COL;4.5X7.5,DAILY;,HOTEL EMBLEM;,1901-315,1901-02-08T00:00:00Z,TAMPA BAY HOTEL,,,COMPLETE,4,49
23900,GRAND LODGE OF NORWAY,DINNER,SOC,"CHRISTIANIA, NORWAY [OSLO]",FOLDER; 3.75X5.75;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; MUSIC PROGRAM; SPON AND EVNT NOTED BY FEB;,1908-110,1908-02-02T00:00:00Z,GRAND LODGE OF NORWAY,,,COMPLETE,4,9
23902,CHAMBER OF COMMERCE OF THE STATE OF NEW YORK,122ND ANNUAL MEAL,COM,"DELMONICO'S, NEW YORK, NY",FOLDER; 5X6.75,ANNUAL MEETING,"FRENCH MENU, ONLY HOT ITEMS ARE BEVERAGE,ALL OTHER ITEMS ARE COLD; TWO COPIES",1890-063,1890-05-01T00:00:00Z,CHAMBER OF COMMERCE OF THE STATE OF NEW YORK,,,COMPLETE,4,23
23903,CITIZENS OF OTTAWA,"FAREWELL BANQUET TO THE EARL OF ABERDEEN,GOV. GENERAL OF CANADA",POL,"THE RUSSELL [OTTAWA,CANADA]",BOOKLET; ILLUS; COL; 5.5 X 7.5,COMPLIMENTARY/TESTIMONIAL,ALL SUBSCRIBERS & COMMITTEE MEMBERS LISTED; MUSICAL PROGRAM INCLUDED; MENU IN FRENCH;,1898-299,1898-11-01T00:00:00Z,CITIZENS OF OTTAWA,,,COMPLETE,12,24
23904,HOTEL WINDSOR,DINNER,COMMERCIAL,"NEW YORK, NY",FOLDER; 4.5 X 6;,NONE,STATEMENT THAT ALL DRINKING WATER AND ICE ARE FILTERED OR MADE FROM DISTILLED WATER; ILLUSTRATION OF HOTEL ON BACK COVER;,1898-179,1898-05-19T00:00:00Z,HOTEL WINDSOR,,,COMPLETE,4,58
23905,NEW YORK POST OFFICE CLERKS ASSOCIATION,BANQUET IN HONOR OF CONGRESSMEN FROM GREATER NEW YORK,PROF,TERRACE GARDEN,FOLDER; ILLUS; 4 X 7.25;,COMPLIMENTARY/TESTIMONIAL,COCKTAILS AND WINE; FLAG; LYRICS TO STAR SPANGLED BANNER;,1907-410,1907-04-17T00:00:00Z,NEW YORK POST OFFICE CLERKS ASSOCIATION,,,COMPLETE,4,25
23906,SQUADRON A,NINTH ANNUAL DINNER,MIL,"DELMONICO'S, NY",FOLDER; ILLUS; 4.75 X 7;,ANNIVERSARY;,FRENCH; PHOTO OF OFFICER ON COVER; DRAWING OF ARMORY;,1898137,1898-04-02T00:00:00Z,SQUADRON A,,,COMPLETE,4,23
23909,CURRY & BURLINGAME,SPECIAL BILL OF FARE,COMMERCIAL,"NEW YORK, NY",BROADSIDE; 5.5 X 7;,NONE,NO ITEM MORE THAN 20C;,1901-0997,1901-04-26T00:00:00Z,CURRY & BURLINGAME,Dollars,$,COMPLETE,2,33
23910,J.EDWARD SIMMONS?),"DINNER TO MEET CHARLES SCHWAB,PRESIDENT OF CARNEGIE STEEL CO.]",,UNIVERSITY CLUB,CARD;ILLUS;4.5X6.5;,COMPLIMENTARY/TESTIMONIAL,SPONSOR AND EVENT HANDWRITTEN ON BACK IN PENCIL;FRENCH MENU;MONOGRAM;,1900-5003,1900-12-12T00:00:00Z,J. EDWARD SIMMONS,,,COMPLETE,2,17
23911,HAMBURG AMERIKA LINIE,DINNER,COMMERCIAL,SCHNELLDAMFERS AUGUSTE VICTORIA,BROADSHEET; 6.75X9.0; ILLUS; COLOR;,NONE,"ILLUS, ALGIERS IN BACKGROUND; SAILING SHIPS IN FOREGROUND; CONCERT PROGRAMM LISTED;",1900-759,1900-02-06T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,28
23913,HOTEL LINCOLN,DINNER,COMMERCIAL,"BROADWAY & 52ND ST., NEW YORK, [NY];",FOLDER; 7.0X12.0;,NONE,PRICE MENU; PRICED WINE LIST;,1900-470,1900-01-23T00:00:00Z,HOTEL LINCOLN,Dollars,$,COMPLETE,4,549
23914,NEW YORK LIFE INSUANCE COMPANY,LUNCHEON TO CHICAGO AGENTS AND JOHN A. MCCALL,PROF,"AUDITORIUM ANNEX HOTEL, [CHICAGO, IL]",FOLDER; 8 X 5.5;,COMPLIMENTARY/TESTIMONIAL,CHEER FOR NYLIC ON INSIDE COVER;,1905-256,1905-04-06T00:00:00Z,NEW YORK LIFE INSUANCE COMPANY,,,COMPLETE,4,13
23915,RED STAR LINE,LUNCH,COMMERCIAL,"SS WESTERNLAND, EN ROUTE",BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN;,1900-819,1900-02-08T00:00:00Z,RED STAR LINE,,,COMPLETE,2,22
23916,TOWN OF ABINGTON,150TH ANNIVERSARY OF INCORPORATION OF TOWN OF ABINGTON,GOV,ABINGTON,BROADSIDE; 5 X 7.5,PATRIOTIC HOLIDAY. [LOCAL],"BILL OF FARE ""BY AGREEMENT""",1862-002,1862-06-10T00:00:00Z,TOWN OF ABINGTON,,,COMPLETE,2,13
23917,HOTEL ST. JAMES,THANKSGIVING DINNER,COMMERCIAL,"BRADFORD, PA",FOLDER; ILLUS; COLOR; 4.5 X 6.5;,SECULAR HOLIDAY;,"ILLUS. GOLD EMBOSSED, BARN DOOR WITH HANGING TURKEY;",1899-789,1899-11-30T00:00:00Z,HOTEL ST. JAMES,,,COMPLETE,4,37
23918,SEATTLE CHAMBER OF COMMERCE,BANQUET IN HONOR OF K. ISHII,GOVT,HOTEL BUTLER,FOLDER; 4.5 X 7.25;,COMPLIMENTARY/TESTIMONIAL,WINES; SEAL;,1907-786,1907-09-04T00:00:00Z,SEATTLE CHAMBER OF COMMERCE,,,COMPLETE,4,22
23919,NEW GLADSTONE,BREAKFAST,COMMERCIAL,"NARRAGANSETT PIER, RI",CARD;ILL;COL;5X7;,DAILY;,,1899-560,1899-08-27T00:00:00Z,NEW GLADSTONE,,,COMPLETE,2,67
23920,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,KONIGIN LUISE,CARD;ILL;COL;5.25X8;,NONE,"POSTCARD ATTACHED WITH PERFORATION FOR DETACHING;TWO LISTINGS,GERMAN AND ENGLISH;ONE OF THREE OF SAME DATE,SIMILAR TO THIRD (SEE 1899-241)WITH FEWER ITEMS;",1899-240,1899-03-12T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,26
23921,LYDIA F. WADLEIGH AAOCIATION,SECOND ANNUAL BREAKFAST,SOC,"HOTEL MANHATTAN, NY",BOOKLET; 5 X 6.75;,ANNIVERSARY;,FRENCH; ORNAMENTAL LETTER; RED CORD;,1899-165,1899-02-04T00:00:00Z,LYDIA F. WADLEIGH AAOCIATION,,,COMPLETE,10,13
23922,HAMBURG-AMERIKA LINIE,HAUPTMAHLZEIT-DINNER,COMMERCIAL,"AN BORD DER ""AMERIKA""",FOLDER; ILLUS; COL; 4.75 X 7;,NONE,MENU IN GERMAN AND ENGLISH; ONE OF SEVERAL MENUS FOR DIFFERENT PASSENGER CLASSES ON THIS OCEAN LINER; MUSIK-PROGRAMM ON BACK COVER; DECORATIVE BORDER;,1906-617,1906-07-23T00:00:00Z,HAMBURG AMERIKA LINIE,,,COMPLETE,4,26
23923,CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK,DINNER TO DELEGATES OF THE GRANDES COMPAGNIES FRANCAISES DE CHEMINS DE FER,PROF,"SHERRY'S, NY",FOLDER;PHOTO OF LOCOMOTIVE;8X10;,COMPLIMENTARY/TESTIMONIAL,INVITATION & MENU ALL IN FRENCH;,1905-325,1905-04-30T00:00:00Z,CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK,,,COMPLETE,4,19
23924,FRIENDS OF E.C.STANTON AND ANTON SEIDL,DINNER,,LIEDERKRANZ HALLE,FOLDER; COLOR; ILLUS; 5.5 X 8;,COMPLIMENTARY/TESTIMONIAL,GREEN; WINE AND GAME MOTIF ON COVER; OPERATIC NAMES FOR MENU ITEMS; GEMAN;,1891-035,1891-04-02T00:00:00Z,FRIENDS OF E.C.STANTON AND ANTON SEIDL,,,COMPLETE,4,13
23925,U.S.S.S.RALEIGH,LUNCHEON,NAV,"YOKOHAMA, JAPAN",CARD; ILLUS; 4.4 X 6;,NONE,JAPANESE MOTIF ILLUSTRATION; SOME INITIALS ON BACK OF MENU;,1906-547,1906-06-27T00:00:00Z,U.S.S.S.RALEIGH,,,COMPLETE,2,6
23928,BERT HOUGH AND TONY FRANKER,TABLE D'HOTE MEAL,COMMERCIAL,,CARD;ILL;COL;5.25X7.75;,DAILY;,PABST BLUE RIBBON LOGO ON MENU;FRENCH CLARET SERVED FOR 25c;,1899-736,1899-11-19T00:00:00Z,BERT HOUGH AND TONY FRANKER,,,COMPLETE,2,18
23932,PORCELLIAN CLUB,MENU,SOC,"HARVARD UNIVERSITY, CAMBRIDGE, MA",FOLDER; ILLUS; COL; 3.50 x 3.25;,NONE,ILLUS. OF PIG; DECORATIVE BORDER; HANDWRITTEN NOTATIONS INDICATE DUAL USE AS PLACE CARD,1884-004,1884-12-06T00:00:00Z,PORCELLIAN CLUB,,,COMPLETE,3,22
23933,CAFE SAVARIN,DAILY MENU,COMMERCIAL,,CARD; 6.75 X 11;,NONE,PRICED MENU AND WINE LIST;,1900-655,1900-01-31T00:00:00Z,CAFE SAVARIN,Dollars,$,COMPLETE,2,408
23934,HOTEL COLONIAL,DINNER,COMMERCIAL,"NASSAU, THE BAHAMAS",CARD; COL; 5 X 9;,NONE,LOGO; BLUE STOCK;,1901-196,1901-01-27T00:00:00Z,HOTEL COLONIAL,,,COMPLETE,2,57
23935,HOTEL ST. REGIS,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,NONE,FRENCH AND ENGLISH;,1906-277,1906-03-06T00:00:00Z,HOTEL ST. REGIS,Dollars,$,COMPLETE,2,191
23936,THE THORNDIKE,DAILY MENU,,"BOSTON, MA",FOLDER; ILL; 3.5X4.5,NONE,"EMBOSSED FIGURE ON FRONT COVER,PINK RIBBON AT LEFT",1888-050,1888-05-25T00:00:00Z,THE THORNDIKE,,,COMPLETE,5,23
23937,SAINT DAVID'S SOCIETY OF THE STATE OF NEW YORK,63RD ANNUAL DINNER,PAT,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; COL; 6.5X9;,ANNIVERSARY;,"MENU IN WELSH & ENGLISH; MUSICAL PROGRAM, TOASTS, SONG SHEET; INDIVIDUAL PORTRAITS OF ALL OFFICERS & STEWARDS; COMMITTEES LISTED; DRAGON ON COVER;",1898-117,1898-03-01T00:00:00Z,SAINT DAVID'S SOCIETY OF THE STATE OF NEW YORK,,,COMPLETE,18,35
23938,MARINE SOCIETY OF NY,126TH ANNIVERSARY DINNER,PROF,"HOFFMAN HOUSE CAFE', 7 BEAVER ST.NY",BROADSHEET; ILLUS; COL; 5 X 7;,ANNUAL DINNER,,1896-011,1896-01-13T00:00:00Z,MARINE SOCIETY OF NY,,,COMPLETE,2,19
23941,SILSBE & SON OYSTER-HOUSE AND RESTAURANT,MENU,COMMERCIAL,"203-205 SIXTH AVENUE,NEW YORK,NY",FOLDER;7X14;,DAILY;,OPPOSITE MACY'S;DATE HANDWRITTEN;,1901-902,1901-04-12T00:00:00Z,SILSBE & SON OYSTER HOUSE AND RESTAURANT,Dollars,$,COMPLETE,4,457
23942,FABYAN HOUSE,SUPPER,COMMERCIAL,"WHITE MOUNTAINS, NH",CARD; ILLUS; 4.5 X 7;,NONE,AD FOR MOUNT WASHINGTON STAGE LINE;,1897-261,1897-09-06T00:00:00Z,FABYAN HOUSE,,,COMPLETE,2,67
23943,THE HOLBORN RESTAURANT,DAILY MENU,COMMERCIAL,"LONDON, ENGLAND",FOL; ILLUS; 5.25. x 8.25.;,NONE,ILLUS. OF 5 DINING ROOMS IN REST; FLORAL & FRUIT BORDER; FRENCH & ENGLISH; INCLUDES PROGRAMME OF MUSIC,1881-048,1881-01-13T00:00:00Z,THE HOLBORN RESTAURANT,,,COMPLETE,4,50
23944,ROYAL ARMY MEDICAL COLLEGE,DINNER,EDUC,"ST. ERMIN'S HOTEL, LONDON, ENGLAND",CARD; 4.5X7.5;,NONE,MENU IN FRENCH;,1905-757,1905-10-17T00:00:00Z,ROYAL ARMY MEDICAL COLLEGE,,,COMPLETE,2,17
23945,HOLLY INN,DINNER,COMMERCIAL,"PINEHURSSST, N.C.",BROADSIDE; ILLUS; 5 X 7;,NONE,,1901-123,1901-01-19T00:00:00Z,HOLLY INN,,,COMPLETE,2,48
23946,CONGRESS HOTEL COMPANY,SPECIAL LUNCHEON,COMMERCIAL,"CHICAGO, IL",CARD; ILLUS; COL; 4X7;,NONE,TABLE D'HOTE SPECIAL LUNCHEON - 75 CENTS; ILLUSTRATION OF HOTEL AT TOP OF MENU;,1907-639,1907-06-27T00:00:00Z,CONGRESS HOTEL COMPANY,,,COMPLETE,2,21
23947,MR. THOMAS W.WILSON,BACHELOR PARTY DINNER,SOC,"HOTEL IROQUOIS, BUFFALO,NY",BOOKLET;6X9.75;,OTHER [BACHELOR PARTY];,PAGE FOR AUTOGRAPHS;,1905-700,1905-09-13T00:00:00Z,MR. THOMAS W.WILSON,,,COMPLETE,4,21
23948,PUTNAM HOUSE,DAILY MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; 6.75X10.0;,NONE,PRICED DAILY BILL OF FARE;,1900-597,1900-01-29T00:00:00Z,PUTNAM HOUSE,Dollars,$,COMPLETE,4,256
23949,AMERICAN ASIATIC ASSOCIATION,"BREAKFAST IN HONOR OF TAI HUNG-TZU,VICE PRES.OF THE IMPERIAL CHINESE BOARD OF REVENUE & TUAN FANG,VICEROY OF MIN-CHE",PATR,"MERCHANTS CLUB,NY",BOOKLET; ILLUS; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,WINES INCLUDED; EVENT WAS 1P.M. MENU MORE APPROPIATE FOR LUNCH THAN BREAKFAST;,1906-126,1906-02-03T00:00:00Z,AMERICAN ASIATIC ASSOCIATION,,,COMPLETE,4,22
23950,SPENCER DINING HALL CO.,DAILY MENU,COMMERCIAL,"53 VESEY STREET, [NEW YORK, NY]",FOLDER; ILLUS; COL; 6 X 10;,NONE,"PRICED MENU; MUCH EMPHASIS ON PURITY; ILLUSTRATION OF COFFEE URNS, RED PRINT; DATE NOTED BY FEB;",1905-396,1905-05-17T00:00:00Z,SPENCER DINING HALL CO.,Dollars,$,COMPLETE,4,112
23951,HOTEL VENDOME,LUNCHEON,COMMERCIAL,"BOSTON, MA",BROADSIDE; 4.75 X 6.25;,DAILY LUNCH,,1899-600,1899-10-04T00:00:00Z,HOTEL VENDOME,,,COMPLETE,2,31
23952,REGIMENTS VON HORN,75TH ANNIVERSARY DINNER,MIL,,CARDS; COL; ILLUS; 9 X 13;,OTHER (ANNIVERSARY?),GERMAN; SOLDIER; BATTLES; ORNAMENTAL BORDERS; 3 CARDS;,1890-050,1890-03-25T00:00:00Z,REGIMENTS VON HORN,,,COMPLETE,6,22
23953,N.Y.&P.R.S.S.CO. - U.S.M.S. COAMO,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; FLAG EMBLEM;4.5X6.25;,NONE,,1905-540,1905-07-04T00:00:00Z,N.Y.&P.R.S.S.CO. U.S.M.S. COAMO,,,COMPLETE,2,28
23954,RED STAR LINE,LUNCHEON,COMMERCIAL,S.S. KROONLAND,CARD; COL; ILLUS; 5.5 X 8;,NONE,"LINE RAN BETWEEN ANTWERP AND NEW YOK, BOSTON AND PHILADELPHIA; ILLUSTRATION OF MEN AND WOMEN PLAYING QUOITS ON DECK; BACK OF MENU FOR USE AS POSTCARD;",1907-674,1907-07-13T00:00:00Z,RED STAR LINE,,,COMPLETE,2,32
23955,THE HOLLAND SOCIETY OF NEW YORK,TENTH ANNUAL DINNER,PATR,"SHERRY'S, FIFTH AVENUE [NY]",FOLDER; ILLUS; COL; 7 X 10.75;,OTHER (ANNIV);,"ILLUS. OF GOV. JOHANNES DE GRAEF OF ST EUSTATIUS, DUTCH WEST INDIES AND DUTCH FARMER; FRENCH AND DUTCH; ORANGE PRINT; SEATING PLAN ON ORANGE PAPER;",1895-026,1895-01-29T00:00:00Z,THE HOLLAND SOCIETY OF NEW YORK,,,COMPLETE,4,36
23956,CITIZENS BUSINESS LEAGUE,NINTH ANNUAL BANQUET,PROF,"PLANKINTON HOUSE, MILWAUKEE, WI",FOLDER; ILLUS; COL; 6X6.5;,ANNIVERSARY;,"WINES LISTED; TOASTS, OFFICERS AND COMMITTEE LISTED; SKETCH OF WASHINGTON CUTTING DOWN CHERRY TREE; ON COVER IS ""A BRIGHT SPOT"", A PEARLIZED RED CICLE;",1907-250,1907-02-21T00:00:00Z,CITIZENS BUSINESS LEAGUE,,,COMPLETE,12,24
23958,TAMPA BAY HOTEL,LUNCHEON,COMMERCIAL,"TAMPA, FL",CARD; ILLUS; COL; 4.5X6.75,NONE,HOTEL SEAL AT TOP;,1901-521,1901-02-28T00:00:00Z,TAMPA BAY HOTEL,,,COMPLETE,2,43
23959,LEINSTER REGIMENT,ANNUAL REGIMENTAL DINNER,MIL,"THE WALNUT ROOMS, THE GRAND HOTEL, TRAFALGAR SQUARE, LONDON, ENGLAND",FOLDER; 4 X 6.25;,ANNIVERSARY;,WINES LISTED; MENU IN FRENCH;,1906-483,1906-05-24T00:00:00Z,LEINSTER REGIMENT,,,COMPLETE,4,24
23960,ST.GEORGE'S SOCIETY OF NEW YORK,DINNER,RELIG,"DELMONICO'S, NEW YORK, NY",BOOKLET;ILL;COL;5.5X7.25;,NONE,EMBLEM;TOASTS;SONG WORDS PRINTED;,1901-980,1901-04-23T00:00:00Z,ST.GEORGE'S SOCIETY OF NEW YORK,,,COMPLETE,12,22
23961,FIFTH AVENUE HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",BROADSIDE; 5.5 X 8.5,NONE,INFORMATION WRITTEN BY FNB;,1897-223,1897-07-04T00:00:00Z,FIFTH AVENUE HOTEL,,,COMPLETE,2,72
23965,U.S.S. LOUISIANA,DAILY MENU,NAV,AT SEA,BROADSIDE; 4 X 6;,NONE,,1906-853,1906-11-23T00:00:00Z,U.S.S. LOUISIANA,,,UNDER REVIEW,2,15
23967,HOTEL ADAMS,BANQUET TO THE PHOENIX & MARICOPA COUNTY BOARD OF TRADE,COMMERCIAL,"PHOENIX,ARIZONA",BROADSIDE [ON PINK SILK];4.75X10;,COMPLIMENTARY/TESTIMONIAL,MENU PRINTED ON SILK FABRIC & THEN PASTED ON CARDBOARD;WINES LISTED;,1906-316,1906-03-18T00:00:00Z,HOTEL ADAMS,,,COMPLETE,2,21
23969,MAHARAJA OF BARODA,DINNER,,"MAKARPURA PALACE (BARODA,INDIA)",CARD;ILL;COL;7.25X4.75;,COMPL; FOR MAHARAJA SCINDIYA,MENU IN FRENCH;ANOTHER LANGUAGE ON MENU;ABOVE DATA FROM HANDWRITTEN MATERIAL ON BACK OF MENU;,1897-027,1897-01-29T00:00:00Z,MAHARAJA OF BARODA,,,COMPLETE,2,13
23970,UNION CLUB,NEW YEAR'S DAY DINNER,COMMERCIAL,"CLEVELAND, OH",BROADSIDE; ILLUS; 6X8.5;,SECULAR HOLIDAY;,INFO SUPPLIED BY FNB; FRENCH; ILLUSTRATION OF CLUB ON MENU;,1897-004,1897-01-01T00:00:00Z,UNION CLUB,,,COMPLETE,2,20
23971,HOTEL ALCAZAR,LUNCHEON,COMMERCIAL,"ST. AUGUSTINE, FL",CARD; COL; 4 X 7.5;,NONE,BLUE STOCK; PROGRAM OF JUBILEE SINGERS IN THE EVENING; NOTE ABOUT PURITY OF WATER;,1901-701,1901-03-19T00:00:00Z,HOTEL ALCAZAR,,,COMPLETE,2,46
23972,PROVIDENCE LINE,DINNER,COMMERCIAL,STEAMER RHODE ISLAND,BROADSHEET; ILLUS; COL; 11X8.5;,NONE,INCLUDES PRICED WINE LIST;,1899-627,1899-10-17T00:00:00Z,PROVIDENCE LINE,Dollars,$,COMPLETE,2,299
23973,ROANOKE ASSOCIATES,DINNER,PATR,"HOTEL MANHATTAN,NEW YORK [NY]",BOOKLET;ILL;COL;6X9;,ANNIVERSARY;,"MENU ITEMS ON DIFFERENT PAGES;WINES SERVED;BATTLE ILLUSTRATIONS,MAP OF OPERATIONS AT ROANOKE ISLAND,PROGRAM,NAMES,SONGS,POEMS LISTED;",1897-040,1897-02-08T00:00:00Z,ROANOKE ASSOCIATES,,,COMPLETE,10,30
23974,U.S.M.S. NEW YORK,DINNER,,"U.S.M.S, NEW YORK, NY",CARD;ILL;COL;4X6.25;,DAILY;,PRICED WINE LIST;FLAG;,1900-837,1900-02-09T00:00:00Z,U.S.M.S. NEW YORK,Dollars,$,COMPLETE,2,93
23975,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8,NONE,GERMAN & ENGLISH; ILLUSTRATION OF SAILBOAT PASSING BEFORE MOUNTAINOUS SHORE;,1901-994,1901-04-25T00:00:00Z,NORDDEUTSCHER LLOYD BREMEN,,,COMPLETE,2,66
23976,W.B.VEIRS ESQ.,DINNER TO MISS HELEN MERRILL,PERSONAL,"GRAND HOTEL,MELBOURNE",FOLDER;ILL;COL;3.5X4.5;,COMPLIMENTARY/TESTIMONIAL,"FRENCH MENU WITH SEVERAL ITEMS ""A LA"" STATES OF THE US;",1899-552,1899-08-19T00:00:00Z,W.B.VEIRS ESQ.,,,COMPLETE,3,11
23977,PRESIDENT FALLIERES,HUNTING MENU TO MINISTERS OF FRANCE,GOVT,"CHATEAU DE RAMBOUILLET, [FRANCE]","CARD; ILLUS; COL, 8 X 11.5;",COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH; SEPIA ILLUSTRATION OF GAME BIRDS; INFORMATION NOTED BY FEB;,1907-108,1907-01-18T00:00:00Z,PRESIDENT FALLIERES,,,COMPLETE,2,7
23978,AUTOMOBILE CLUB OF SYRACUSE,SIXTH ANNUAL BANQUET,COMMERCIAL,"DATES, THE, SYRACUSE, NY",BOOKLET; ILLUS; COL; 5.25X8.25;,ANNIVERSARY;,"EACH MENU ITEM FOLLOWED BY MOTOR TERMINOLOGY DESCRIPTION; INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; TOASTS LISTED; CONCERT PROGRAM; OFFICERS AND BANQUET COMMITTEE LISTED; PHOTOGRAPH OF ABRAHAM LINCOLN ON COVER, ALONG WITH SKETCHES OF MOTOR TOURING CA",1908-145,1908-02-12T00:00:00Z,AUTOMOBILE CLUB OF SYRACUSE,,,COMPLETE,12,24
23980,SOUTH BROOKLYN BOARD OF TRADE,9NTH ANNUAL DINNER,PROF,"BROOKLYN, NY",FOLDER; ILLUS; COL; 4.5X6;,ANNUAL;,OFFICERS & DINNER COMMITTEE MEMBERS LISTED;,1906-157,1906-02-12T00:00:00Z,SOUTH BROOKLYN BOARD OF TRADE,,,COMPLETE,8,23
23981,MILLINERY TRAVELING MEN'S ASSOCIATION OF CHICAGO,BANQUET,COMMERCIAL,"PALMER HOUSE, CHICAGO, IL",FOLDER; ILLUS; COL; 5.6X7;,ANNIVERSARY;,"OFFICERS, ENTERTAINMENT COMMITTEE, TOASTER LISTED; ILLUSTRATION ON COVER OF ART DECO COSTUMED LADY;",1905-496,1905-06-21T00:00:00Z,MILLINERY TRAVELING MEN'S ASSOCIATION OF CHICAGO,,,COMPLETE,8,19
23982,INITIALS L.S AND M.E.S.,DINNER,,"DELMONICO'S, NY",CARD; DECORATED; 4.25X7;,NONE,FRENCH; BORDERED WITH SILK FRINGE; FRENCH; ENCLOSED IN WHITE PAPER;,1888-038,1888-04-11T00:00:00Z,INITIALS L.S AND M.E.S.,,,COMPLETE,1,27
23984,NEW YORK COMMANDERY OF THE MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES,"FAREWELL TO GEN. HORACE PORTER, U.S. AMBASSADOR TO THE REPUBLIC OF FRANCE",MIL,"DELMONICO'S, NY",BOOKLET; ILLUS; COL; 5.5 X 7.5,COMPLIMENTARY/TESTIMONIAL,FRENCH; INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; EACH ITEM ON MENU FOLLOWED BY LITERARY QUOTATION; FULL PAGE DESCRIPTION OF GEN. PORTER'S MILITARY CAREER; PHOTOGRAPH ON COVER; USA & FRENCH FLAGS ON COVER; SILK RIBBON ATTACHMENTS;,1897-127,1897-04-22T00:00:00Z,NEW YORK COMMANDERY OF THE MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES,,,COMPLETE,10,28
23985,NEW ROCHELLE BOARD OF TRADE,FIRST ANNUAL DINNER,,"NEW ROCHELLE, NY",BROADSIDE; COL;3.75X5.75;,NONE,,1899-394,1899-04-28T00:00:00Z,NEW ROCHELLE BOARD OF TRADE,,,COMPLETE,2,17
23986,YE OLDE DUTCH TAVERN,DAILY MENU,COMMERCIAL,"23 JOHN STREET, NEW YORK",CARD; 7 X 12;,NONE,PRICED WINE LIST AND MENU;,1907-169,1907-01-01T00:00:00Z,YE OLDE DUTCH TAVERN,Dollars,$,COMPLETE,2,243
23987,YOUNG MEN'S DEMOCRATIC CLUB,SIXTH ANNUAL BANQUET,POL,"PARK HOTEL, WILLIAMSPORT, PA",BOOKLET; ILLUS; 5.5 X 7,PATRIOTIC HOLIDAY;,MENU SAYS JACKSON DAY; PORTRAIT OF ANDREW JACKSON; WINES;,1898-016,1898-01-07T00:00:00Z,YOUNG MEN'S DEMOCRATIC CLUB,,,COMPLETE,8,24
